Name,URL
Assessment Manual - Students Who Are DHH_OLD.pdf,https://cehd-acquia.github.io/DHH-Resources/Assessment/AssessmentManual.pdf
Setting Language in Motion - Activity Guide_OLD.pdf,https://clerccenter.gallaudet.edu/national-resources/micro-sites/activity-guide-for-professionals/Documents/Clerc Microsite/Activity1.10CommunicationandLanguageMilestones.pdf
EI & Education Summit Report -_Deafaustralia_OLD.pdf,https://deafaustralia.org.au/wp-content/uploads/2022/05/EI-and-Education-Summit-report-2013.pdf
Benefits of Auslan in Early Intervention - Deaf Connect_OLD.pdf,https://deafconnect.org.au/wp-content/uploads/2022/11/BENEFITS_OF_AUSLAN_EARLY_INTERVENTION_v4_DIGITAL.pdf
Reasonable Adjustments Guide (QLD)_OLD.pdf,https://desbt.qld.gov.au/__data/assets/pdf_file/0028/8299/reasonable-adjustment-for-web.pdf
CRPD General Comment No. 7_OLD.pdf,https://digitallibrary.un.org/record/1641694/files/CRPD_C_GC_7-EN.pdf
Montana Language Developmental Milestones_OLD.pdf,https://dphhs.mt.gov/assets/ecfsd/childcare/MilestonesandParentResources.pdf
NSW Inclusive Education Statement_OLD.pdf,https://education.nsw.gov.au/content/dam/main-education/teaching-and-learning/disability-learning-and-support/our-disability-strategy/inclusive-education/Inclusive-Education-Statement.pdf
NSW Disability Inclusion Act 2014_OLD.pdf,https://legislation.nsw.gov.au/view/html/inforce/current/act-2014-041
NSW Disability Inclusion Education Policy_2014_OLD.pdf,https://legislation.nsw.gov.au/view/whole/pdf/inforce/2023-07-01/act-2014-041
NT Disability Services Act 1993_OLD.pdf,https://legislation.nt.gov.au/en/Legislation/DISABILITY-SERVICES-ACT-1993
Assessment Resource Guide (Michigan DHH Services)_OLD.pdf,https://mdelio.org/sites/default/files/documents/DHH/ServiceDeliveryTools/AssesmentResourceGuide/Assessment_Resource_Guide_for_DHH_2021.pdf
Inclusive Education Policy (QLD)_OLD.pdf,https://ppr.qed.qld.gov.au/attachment/inclusive-education-policy.pdf
ASL Stages of Development Assessment_OLD.pdf,https://successforkidswithhearingloss.com/wp-content/uploads/2011/12/ASL-Stages-of-Development-Assmt.pdf
ASL Assessment & Intervention Guide_OLD.pdf,https://successforkidswithhearingloss.com/wp-content/uploads/2017/02/Assessment-Intervention-ASL-User-handout.pdf
Multidimensional Family-Centre_Alsepneo_OLD.pdf,https://www.alsepneo.com/wp-content/uploads/2022/04/Multidimensional-Family-Centred-Early-Intervention.pdf
Policy on Early Intervention for DHH Children_OLD.pdf,https://www.aph.gov.au/DocumentStore.ashx?id=e8cbc1dd-6a5d-4f25-9a66-1f3eada1cf52&subId=400764
Best Practices in Family-Centred EI - Aurora School_OLD.pdf,https://www.auroraschool.vic.edu.au/wp-content/uploads/2023/10/Best_Practices_in_Family_Centered_Early_Intervention_ENG.pdf
Classroom tips_Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/resources/education/information-for-your-childs-teacher/classroom-tips/
How listener friendly is your _Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/resources/education/information-for-your-childs-teacher/how-listener-friendly-is-your-classroom/
A quick guide to communication_Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/resources/language-and-communication/getting-started/a-quick-guide-to-communication/
What do hearing aids do_Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/resources/your-childs-hearing/hearing-aids/what-do-hearing-aids-do/
Describing Hearing Loss_Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/resources/your-childs-hearing/hearing-loss/describing-hearing-loss/
Describing the severity of a hearing loss_Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/resources/your-childs-hearing/hearing-loss/describing-the-severity-of-a-hearing-loss/
NDIS and Children with Hearing Loss - ADK_OLD.pdf,https://www.aussiedeafkids.org.au/user-assets/NDIS%20and%20children%20with%20hearing%20loss.pdf
Sound Waves_Aussiedeafkids_OLD.pdf,https://www.aussiedeafkids.org.au/wp-content/uploads/2024/12/Sound-Waves-section-5.pdf
ACT Disability Services Act 1991_OLD.pdf,https://www.austlii.edu.au/au/legis/vic/hist_act/dsa1991213.pdf
NDIS Assistive Technology Evidence Form_OLD.docx,https://www.cde.ca.gov/sp/ss/dh/documents/sb210-pamplet.pdf
Parent Profile Language Milestones (California)_OLD.pdf,https://www.cde.ca.gov/sp/ss/dh/documents/sb210-pamplet.pdf
QLD Minimum Standards of Practice - Early Intervention_OLD.pdf,https://www.childrens.health.qld.gov.au/__data/assets/pdf_file/0025/174805/hh-min-stds-prac-qld.pdf
Language Development and Deaf Children - Deaf Children Australia_OLD.pdf,https://www.deafchildrenaustralia.org.au/wp-content/uploads/2021/06/language-development-deaf-children.pdf
Australia's Disability Strategy 2021-2031_OLD.pdf,"https://www.disabilitygateway.gov.au/sites/default/files/documents/2021-12/australias-disability-strategy-2021
-2031.pdf"
Victoria Disability Inclusion Program_OLD.pdf,https://www.education.vic.gov.au/about/programs/Pages/disabilityinclusion.aspx
Assistive Technology Guidelines (VIC)_OLD.pdf,https://www.health.vic.gov.au/sites/default/files/2024-01/victorian-aids-and-equipment-program-guidelines-december-2023.pdf
IDEAL Language Milestones English & ASL_OLD.pdf,https://www.in.gov/health/cdhhe/files/ideal-language-milestones-english-american-sign-language.pdf
Disability Discrimination Act _1992_Legislation_OLD.pdf,https://www.legislation.gov.au/Details/C2021C00375/Download
NDIS Act 2013_Legislation_OLD.pdf,https://www.legislation.gov.au/Details/C2023C00397/Download
QLD Disability Services Act 2006_OLD.pdf,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2006-012
SA Disability Inclusion Act 2018_OLD.pdf,https://www.legislation.sa.gov.au/__legislation/lz/c/a/disability%20inclusion%20act%202018/current/2018.1.auth.pdf
TAS Disability Services Act 2011_OLD.pdf,https://www.legislation.tas.gov.au/view/whole/html/asmade/act-2011-027
Victoria Disability Act 2006_OLD.pdf,https://www.legislation.vic.gov.au/in-force/acts/disability-act-2006/023
WA Disability Services Act 1993_OLD.pdf,https://www.legislation.wa.gov.au/legislation/prod/filestore.nsf/FileURL/mrdoc_47664.pdf/$FILE/Disability%20Services%20Act%201993%20-%20%5B04-h0-00%5D.pdf?OpenElement
NDIS Access Request Form_OLD.pdf,https://www.ndis.gov.au/media/2323/download
NDIS Supporting Evidence Form_OLD.pdf,https://www.ndis.gov.au/media/2376/download
Speech & Language Development Milestones - NIDCD_OLD.pdf,https://www.nidcd.nih.gov/sites/default/files/Documents/health/voice/NIDCD-Speech-Language-Dev-Milestones.pdf
Assessment Recommendations for Children (Birth-5) Who Are DHH (NJ DOE)_OLD.pdf,https://www.nj.gov/education/broadcasts/2021/july/7/AssessmentGuideandParentResourceGuideforChildrenBirthtoFiveYearsOldwhoareDeaforHardofHearing.pdf
NJ Assessment Guide for Children (Birth-5) Who Are DHH_OLD.pdf,https://www.nj.gov/education/specialed/programs/deaf/docs/NJ Assessment Guide for Children Birth to 5 Years Old who are DHH.pdf
UN Convention on the Rights of Persons with Disabilities (CRPD)_OLD.pdf,https://www.un.org/disabilities/documents/convention/convoptprot-e.pdf
Assessment Tools for Students Who Are Deaf or Hard of Hearing_OLD.pdf,https://wyominginstructionalnetwork.com/wp-content/uploads/2018/05/Assessment-Tools-for-Students-Who-are-Deaf-and-Hard-of-Hearing.pdf
