Name,URL,"Type (HTML/XML, Javascript, PDF)",Robots.txt permission?,Accessible?
Describing Hearing Loss,https://www.aussiedeafkids.org.au/resources/your-childs-hearing/hearing-loss/describing-hearing-loss/,,,
CRPD General Comment No. 7,https://digitallibrary.un.org/record/1641694/files/CRPD_C_GC_7-EN.pdf,,,
Disability Discrimination Act 1992,https://www.legislation.gov.au/Details/C2021C00375/Download,,,
Australia's Disability Strategy 2021-2031,"https://www.disabilitygateway.gov.au/sites/default/files/documents/2021-12/australias-disability-strategy-2021
-2031.pdf",,,
NDIS Act 2013,https://www.legislation.gov.au/Details/C2023C00397/Download,,,
NDIS Quality and Safeguarding Framework,"https://www.ndiscommission.gov.au/sites/default/files/documents/2019-05/ndis-quality-and-safeguarding-fram 
ework-0.pdf",,,
Disability Standards for Education 2005,"https://www.education.gov.au/disability-standards-education-2005/resources/disability-standards-education-2 
005",,,
NDIS Access Request Form,https://www.ndis.gov.au/media/2323/download,,,
Best Practices in Family-Centred EI - Aurora School,https://www.auroraschool.vic.edu.au/wp-content/uploads/2023/10/Best_Practices_in_Family_Centered_Early _Intervention_ENG.pdf,,,
NDIS and Children with Hearing Loss - ADK,https://www.aussiedeafkids.org.au/user-assets/NDIS%20and%20children%20with%20hearing%20loss.pdf,,,
